SiteCode,DateTime,DurationNS,ScaledValue,mod_datetime,species
CLDP0001,2024-08-09 09:00:00+00:00,3600000000,4.543236875,2024-08-09 10:00:00+00:00,IPM25
CLDP0001,2024-08-09 10:00:00+00:00,3600000000,5.198555,2024-08-09 11:00:00+00:00,IPM25
CLDP0001,2024-08-09 11:00:00+00:00,3600000000,4.666401875,2024-08-09 12:00:00+00:00,IPM25
CLDP0001,2024-08-09 12:00:00+00:00,3600000000,4.926119375,2024-08-09 13:00:00+00:00,IPM25
CLDP0001,2024-08-09 13:00:00+00:00,3600000000,5.935536875,2024-08-09 14:00:00+00:00,IPM25
CLDP0001,2024-08-09 14:00:00+00:00,3600000000,5.005105624999999,2024-08-09 15:00:00+00:00,IPM25
CLDP0001,2024-08-09 15:00:00+00:00,3600000000,4.485670625,2024-08-09 16:00:00+00:00,IPM25
CLDP0001,2024-08-09 16:00:00+00:00,3600000000,5.469651875,2024-08-09 17:00:00+00:00,IPM25
CLDP0001,2024-08-09 17:00:00+00:00,3600000000,5.03121125,2024-08-09 18:00:00+00:00,IPM25
CLDP0001,2024-08-09 18:00:00+00:00,3600000000,4.95088625,2024-08-09 19:00:00+00:00,IPM25
CLDP0001,2024-08-09 19:00:00+00:00,3600000000,4.11282875,2024-08-09 20:00:00+00:00,IPM25
CLDP0001,2024-08-09 20:00:00+00:00,3600000000,5.468982499999999,2024-08-09 21:00:00+00:00,IPM25
CLDP0001,2024-08-09 21:00:00+00:00,3600000000,4.70187875,2024-08-09 22:00:00+00:00,IPM25
CLDP0001,2024-08-09 22:00:00+00:00,3600000000,4.25072,2024-08-09 23:00:00+00:00,IPM25
CLDP0001,2024-08-09 23:00:00+00:00,3600000000,3.065256875,2024-08-10 00:00:00+00:00,IPM25
CLDP0001,2024-08-10 00:00:00+00:00,3600000000,4.843412,2024-08-10 01:00:00+00:00,IPM25
CLDP0001,2024-08-10 01:00:00+00:00,3600000000,4.975118000000001,2024-08-10 02:00:00+00:00,IPM25
CLDP0001,2024-08-10 02:00:00+00:00,3600000000,5.226987499999999,2024-08-10 03:00:00+00:00,IPM25
CLDP0001,2024-08-10 03:00:00+00:00,3600000000,5.110469,2024-08-10 04:00:00+00:00,IPM25
CLDP0001,2024-08-10 04:00:00+00:00,3600000000,5.30735975,2024-08-10 05:00:00+00:00,IPM25
CLDP0001,2024-08-10 05:00:00+00:00,3600000000,6.455959999999999,2024-08-10 06:00:00+00:00,IPM25
CLDP0001,2024-08-10 06:00:00+00:00,3600000000,5.803201250000001,2024-08-10 07:00:00+00:00,IPM25
CLDP0001,2024-08-10 07:00:00+00:00,3600000000,5.68583225,2024-08-10 08:00:00+00:00,IPM25
CLDP0001,2024-08-10 08:00:00+00:00,3600000000,6.607349,2024-08-10 09:00:00+00:00,IPM25
CLDP0001,2024-08-10 09:00:00+00:00,3600000000,5.8886765,2024-08-10 10:00:00+00:00,IPM25
CLDP0001,2024-08-10 10:00:00+00:00,3600000000,6.384092750000001,2024-08-10 11:00:00+00:00,IPM25
CLDP0001,2024-08-10 11:00:00+00:00,3600000000,6.751933999999999,2024-08-10 12:00:00+00:00,IPM25
CLDP0001,2024-08-10 12:00:00+00:00,3600000000,7.073423,2024-08-10 13:00:00+00:00,IPM25
CLDP0001,2024-08-10 13:00:00+00:00,3600000000,7.585849250000001,2024-08-10 14:00:00+00:00,IPM25
CLDP0001,2024-08-10 14:00:00+00:00,3600000000,6.0723845,2024-08-10 15:00:00+00:00,IPM25
CLDP0001,2024-08-10 15:00:00+00:00,3600000000,6.719614999999999,2024-08-10 16:00:00+00:00,IPM25
CLDP0001,2024-08-10 16:00:00+00:00,3600000000,6.6507245,2024-08-10 17:00:00+00:00,IPM25
CLDP0001,2024-08-10 17:00:00+00:00,3600000000,6.36027875,2024-08-10 18:00:00+00:00,IPM25
CLDP0001,2024-08-10 18:00:00+00:00,3600000000,7.287749,2024-08-10 19:00:00+00:00,IPM25
CLDP0001,2024-08-10 19:00:00+00:00,3600000000,8.447831,2024-08-10 20:00:00+00:00,IPM25
CLDP0001,2024-08-10 20:00:00+00:00,3600000000,8.24668775,2024-08-10 21:00:00+00:00,IPM25
